time,q0,q1,q2,dq0,dq1,dq2,tau0,tau1,tau2
1722873643.72651,0.138678432,0.797736466,-1.002263308,0.114715506,-0.19377619,-0.005257232,1.444715667,0.494765651,0.293973243
1722873643.72854,0.138920665,0.797040045,-1.002263308,0.143394382,-0.202302349,-0.004448427,1.479349256,0.519503927,0.303456247
1722873643.73063,0.139072061,0.796737313,-1.002279162,0.17749899,-0.212378716,-0.014558489,1.479349256,0.504660952,0.293973237
1722873643.73254,0.139132619,0.796434522,-1.002263308,0.139518857,-0.200752142,-0.014558489,1.444715667,0.524451566,0.303456247
1722873643.73449,0.139314294,0.796010613,-1.002263308,0.111615086,-0.213153812,-0.008896854,1.434820342,0.494765627,0.28449024
1722873643.73655,0.13946563,0.795586765,-1.002263308,0.085261524,-0.231756324,-0.014962892,1.415029716,0.470027351,0.256041223
1722873643.7385,0.139768422,0.795223415,-1.002279162,0.093787676,-0.243382895,-0.025881759,1.439768004,0.474975026,0.256041217
1722873643.74052,0.139919817,0.794466496,-1.002279162,0.110839981,-0.210828495,-0.029925784,1.415029716,0.474975026,0.256041217
1722873643.74258,0.140071213,0.794012308,-1.002279162,0.1139404,-0.230981219,-0.028712576,1.434820342,0.470027363,0.26552422
1722873643.74452,0.14019233,0.793770075,-1.002279162,0.09611299,-0.221679962,-0.033161004,1.429872704,0.445289075,0.275007224
1722873643.74654,0.140343726,0.793406785,-1.002263308,0.103088933,-0.217029333,-0.02426415,1.464506316,0.390864855,0.303456247
1722873643.74851,0.140495121,0.792952597,-1.002279162,0.119366133,-0.224780381,-0.024264149,1.469453955,0.440341407,0.246558201
1722873643.75078,0.140616179,0.792589247,-1.002279162,0.116265714,-0.215479124,-0.027094967,1.479349256,0.479922658,0.180177146
1722873643.75283,0.140767574,0.792195678,-1.002279162,0.104639143,-0.206177866,-0.031947796,1.449663329,0.489817977,0.199143159
1722873643.75454,0.141100645,0.791802049,-1.002247572,0.118591028,-0.191450876,-0.008492452,1.405134416,0.450236732,0.199143159
